factset_entity_id,entity_proper_name,iso_country,primary_sic_name,company_id,industry,top_segments,is_single_source,FF_SALES,FF_NET_MGN,FF_DEBT_EQ,FF_ROIC,FF_CURR_RATIO,CURRENCY,financial_date,revenue_percent,relationship_start,relationship_source,source_label,ground_truth_label
00614G-E,BLIS Technologies Ltd.,NZ,,194504665.0,Healthcare,"['Unclassifiable', 'Healthcare', 'Industrial and Materials']",False,0.208402,-261.259009030623,69.6638941629641,-96.4650178843496,0.358109210931974,USD,2019-09-30 00:00:00,,2018-11-08 00:00:00,factset_revere_relationship,historical,0
05MJY6-E,"Callidus Software, Inc.",US,,241922.0,Enterprise Management,['Technology'],False,69.511,-3.16784393836947,0.0,-8.4155908845627,1.29433502208014,USD,2017-12-31 00:00:00,,2018-03-27 00:00:00,factset_revere_relationship,historical,0
001NMC-E,"Milestone Scientific, Inc.",US,,6842.0,General,['Healthcare'],False,2.300921,-124.443950922261,0.942083976789013,-465.108756491593,1.23652408190368,USD,2019-12-31 00:00:00,,2017-02-10 00:00:00,factset_revere_relationship,historical,1
002M44-E,"Chembio Diagnostics, Inc.",US,,194507680.0,Kits,['Healthcare'],False,6.850741,-56.7662826546792,106.41095394336,-33.2240941092803,5.00237826157152,USD,2019-12-31 00:00:00,,2018-04-26 00:00:00,factset_revere_relationship,historical,0
000HVK-E,Dynatronics Corp.,US,,3359.0,Orthopedics,['Healthcare'],False,15.196991,-0.905856955498625,54.5376577709118,-3.30159462906117,1.36466709203862,USD,2019-12-31 00:00:00,,2019-11-21 00:00:00,factset_revere_relationship,historical,0
002WXZ-E,CEPHEID,US,,242039.0,Automated Analyzers,['Healthcare'],False,158.508,-6.88104070457012,76.1226966788039,-5.6773376016065,4.30012630141662,USD,2016-09-30 00:00:00,,2016-04-14 00:00:00,factset_revere_relationship,historical,1
0014B1-E,"Abaxis, Inc.",US,,58.0,Healthcare,['Healthcare'],False,67.918,14.7530846020201,0.0952895322556787,9.7518353989795,6.02206016408386,USD,2018-03-31 00:00:00,,2018-06-21 00:00:00,factset_revere_relationship,historical,1
06GD5N-E,Pierrel SpA,IT,,22447557.0,Local,"['Unclassifiable', 'Healthcare']",False,7.064,31.1155152887882,91.1653438172242,9.67554666838676,1.59481865284974,EUR,2019-12-31 00:00:00,,2019-07-21 00:00:00,factset_revere_relationship,historical,1
006RDV-E,"Financial Engines, Inc.",US,,1731753.0,Retail,['Finance'],False,127.826,13.7249072958553,0.0,6.23988103090558,7.14586903363691,USD,2018-03-31 00:00:00,,2015-02-26 00:00:00,factset_revere_relationship,historical,1
06H0CK-E,"Sirona Dental Systems, Inc.",US,,9050.0,CAD/CAM Systems,['Healthcare'],False,3.058366,-233.408918357057,,,0.35845984852417,USD,2019-06-30 00:00:00,,2017-08-30 00:00:00,factset_revere_relationship,historical,1
00CZ8H-E,"Aratana Therapeutics, Inc.",US,,30835018.0,Veterinary Pharmaceuticals,['Healthcare'],False,7.36,-92.2146739130435,0.827288033424099,-12.5753150863031,6.66032608695652,USD,2019-03-31 00:00:00,,2019-05-21 00:00:00,factset_revere_relationship,historical,0
000C47-E,Apyx Medical Corp.,US,,17608.0,Electrical,['Healthcare'],False,8.382,-64.8174659985684,1.58997459969969,-23.4797244451675,6.23288116318739,USD,2019-12-31 00:00:00,,2019-05-23 00:00:00,factset_revere_relationship,historical,0
002YS3-E,"OraSure Technologies, Inc.",US,,1370996.0,Infectious Diseases,['Healthcare'],False,49.668,4.90859305790449,2.35165801168829,5.58831473189946,6.86424357289151,USD,2019-12-31 00:00:00,,2009-05-20 00:00:00,factset_revere_relationship,historical,1
001NG4-E,Heska Corp.,US,,4967.0,Veterinary Pharmaceuticals,['Healthcare'],False,33.767,-5.11742233541624,34.1459148506128,-0.877976279657919,4.34383055374391,USD,2019-12-31 00:00:00,15.0,2019-07-03 00:00:00,factset_revere_relationship,historical,0
00394S-E,Grifols SA,ES,,1788934.0,Apparel & Other Finished Prods Made From Fabrics & Similiar Materials,[],False,1506.72259420701,14.8241985142295,147.354949141653,5.64888830022894,3.92386126311507,USD,2019-12-31 00:00:00,,,,historical,1
