factset_entity_id,entity_proper_name,iso_country,primary_sic_name,company_id,industry,top_segments,is_single_source,FF_SALES,FF_NET_MGN,FF_DEBT_EQ,FF_ROIC,FF_CURR_RATIO,CURRENCY,financial_date,revenue_percent,relationship_start,relationship_source,source_label,ground_truth_label
05JFPG-E,"Ikuyo Co., Ltd.",JP,,22451624.0,Industrial Manufacturing,['Industrial and Materials'],False,2728.09,-0.746016443739026,47.5670317050122,-11.6463505721919,1.05965617913447,JPY,2020-12-31 00:00:00,12.6,2020-11-11 00:00:00,factset_revere_relationship,historical,1
09WXNS-E,Mood Media Corp.,US,,1912862.0,Professional Services,['Business and Public Services'],False,77.046,6.82579238377073,93.3383952443994,5.08659797014468,2.15080555421162,USD,2010-03-31 00:00:00,,2017-06-08 00:00:00,factset_revere_relationship,historical,1
062XSY-E,"Focus Media Information Technology Co., Ltd.",CN,,1885347.0,Cinema,"['Technology', 'Consumer']",False,4198.1492001,42.9103846148939,0.35617830130407,25.3425719675469,2.72137085883509,CNY,2020-12-31 00:00:00,,2020-08-12 00:00:00,factset_revere_relationship,historical,0
05J35S-E,"U-Shin, Ltd.",JP,,1653389.0,Consumer Vehicles,"['Industrial and Materials', 'Technology']",False,35658.0,-6.17252790397667,209.116877891772,-4.64828081007925,0.962468915386087,JPY,2019-03-31 00:00:00,,2018-08-14 00:00:00,factset_revere_relationship,historical,1
0623CT-E,"Zhuzhou Times New Materials Technology Co., Ltd.",CN,,1870904.0,Consumer Vehicles,['Industrial and Materials'],False,5041.47940238,3.41471549915943,97.751828640244,5.78642225856863,1.22679632538447,CNY,2020-12-31 00:00:00,,2020-09-18 00:00:00,factset_revere_relationship,historical,1
05JC6F-E,Samvardhana Motherson International Ltd.,IN,,22444322.0,Industrial Manufacturing,"['Unclassifiable', 'Industrial and Materials']",False,170924.4,3.84907011520883,,,,INR,2020-12-31 00:00:00,,2020-08-28 00:00:00,factset_revere_relationship,historical,1
06JM31-E,CIE Automotive India Ltd.,IN,,22451490.0,Specialty and Performance Chemicals,['Industrial and Materials'],False,19576.35,5.7143440937662,38.7021189894051,1.12399291568273,0.902788436940394,INR,2020-12-31 00:00:00,,2020-06-02 00:00:00,factset_revere_relationship,historical,1
0DMWRC-E,Federal-Mogul Holdings LLC,US,,16051300.0,Industrial and Materials,['Industrial and Materials'],False,1788.0,0.0559284116331096,409.891598915989,2.24196855775803,1.71645997745209,USD,2016-12-31 00:00:00,,2017-01-30 00:00:00,factset_revere_relationship,historical,1
0FCN8H-E,Akasol AG,DE,,72594080.0,Commercial/Industrial Electric Products,['Industrial and Materials'],False,27.777,-15.5200345609677,59.7091190220214,-9.73059316255966,1.74273409355616,EUR,2020-12-31 00:00:00,,2019-05-22 00:00:00,factset_revere_relationship,historical,1
05JYR4-E,Basware Oyj,FI,,194503226.0,Primary Metal Industries,[],False,46.2486453753302,-4.6941458510556,102.004675557494,-4.32479965751201,1.37705182713525,USD,2020-12-31 00:00:00,,2019-03-18 00:00:00,factset_revere_relationship,historical,1
06KZZC-E,Nanogate SE,DE,,194510418.0,Industrial Manufacturing,['Industrial and Materials'],False,,,,,,,,,2019-06-10 00:00:00,factset_revere_relationship,historical,1
0DK7WJ-E,Munters Group AB,SE,,9708128.0,"Air, Liquid, and Gas Control",['Industrial and Materials'],False,213.777152793453,9.17979359043995,74.37266417512,6.21641602863833,1.35841670291431,USD,2020-12-31 00:00:00,,2020-06-03 00:00:00,factset_revere_relationship,historical,0
09LK9Q-E,The ExOne Co.,US,,194535278.0,Industry-Specific Factory Machinery,['Industrial and Materials'],False,17.372,-22.9104305779415,9.76108409892141,-22.9180423532302,3.02240570463502,USD,2020-12-31 00:00:00,,2019-07-01 00:00:00,factset_revere_relationship,historical,1
009FGH-E,SAF-HOLLAND SE,DE,,19299029.0,Transportation Equipment,['Industrial and Materials'],False,299.026408931655,2.37739264256183,122.846426856581,2.31757335289082,2.48420179165181,USD,2020-12-31 00:00:00,,2020-04-26 00:00:00,factset_revere_relationship,historical,1
002WDD-E,Marvell Technology Group Ltd.,BM,,243799.0,Peripheral,['Technology'],False,750.143,-3.05381773875115,19.5453141663082,15.6593920042424,1.42055365881221,USD,2020-10-31 00:00:00,,2020-03-31 00:00:00,factset_revere_relationship,historical,1
000PCN-E,"Magna International, Inc.",CA,,6330.0,Consumer Vehicles,"['Industrial and Materials', 'Unclassifiable']",False,13770.7624677167,6.98334595003788,52.7616534740545,4.57985209256135,1.37185671764344,CAD,2020-12-31 00:00:00,12.39,2020-04-16 00:00:00,factset_revere_relationship,historical,1
05J9TX-E,"Imasen Electric Industrial Co., Ltd.",JP,,22449302.0,Transportation Equipment,"['Industrial and Materials', 'Healthcare']",False,2633.54877514253,7.60525124490722,50.2958579881657,7.3789000868566,1.6372453928225,USD,2020-12-31 00:00:00,,2018-09-28 00:00:00,factset_revere_relationship,historical,1
05HWZG-E,"Hyundai Mobis Co., Ltd.",KR,,22437572.0,Transportation Equipment,"['Industrial and Materials', 'Finance']",False,9548.54188724624,5.21505189518999,9.89257764219099,4.29249332678929,2.27162404910283,USD,2020-12-31 00:00:00,,2020-05-02 00:00:00,factset_revere_relationship,historical,0
0C2VH2-E,"JALCO Holdings, Inc.",JP,,194528048.0,Asia/Pacific,"['Consumer', 'Finance']",False,791.638,63.268438351873,162.528379909268,4.07364368366941,1.34583707974318,JPY,2020-12-31 00:00:00,26.45,2020-07-08 00:00:00,factset_revere_relationship,historical,1
06HV6T-E,"Shenzhen Deren Electronic Co., Ltd.",CN,,1885375.0,Electronic Components,"['Technology', 'Industrial and Materials', 'Unclassifiable']",False,2295.1003426,-4.55623789901656,225.300537374503,3.29060544690256,1.06398458237823,CNY,2020-12-31 00:00:00,,2018-08-20 00:00:00,factset_revere_relationship,historical,1
06VY24-E,"Pivotal Software, Inc.",US,,9137474.0,Primary Metal Industries,[],False,198.279,-16.695161867873,10.1898396565526,-9.65912274283756,2.43509982108118,USD,2019-10-31 00:00:00,,,,historical,1
08HHKT-E,Blink Charging Co.,US,,194509103.0,Rideshare and Taxi Services,"['Industrial and Materials', 'Consumer']",False,2.453297,-323.707443493389,5.74339252640216,-101.213719005776,4.18616514744401,USD,2020-12-31 00:00:00,,2019-05-31 00:00:00,factset_revere_relationship,historical,1
05JC65-E,SYZYGY AG,DE,,1908839.0,Business and Public Services,['Business and Public Services'],False,14.836,4.1925047182529,48.5439256887091,2.68494008110892,0.832575475214312,EUR,2020-12-31 00:00:00,,2020-07-29 00:00:00,factset_revere_relationship,historical,0
07N5YW-E,"Zendesk, Inc.",US,,7312047.0,Customer Relationship Management (CRM),['Technology'],False,283.603,-24.6950843256242,272.507531881685,-17.6119870455698,1.76728382050179,USD,2020-12-31 00:00:00,,2020-02-18 00:00:00,factset_revere_relationship,historical,0
05HXR8-E,"Futaba Industrial Co., Ltd.",JP,,22440759.0,Industrial Manufacturing,['Industrial and Materials'],False,1312.67346821584,3.44352416226778,127.921459447579,0.0698953674370028,1.04185540029831,USD,2020-12-31 00:00:00,,2020-06-22 00:00:00,factset_revere_relationship,historical,0
08DDXW-E,Minda Corp. Ltd.,IN,,194530018.0,Retail,"['Industrial and Materials', 'Consumer', 'Unclassifiable']",False,7398.0,6.68829413354961,,,,INR,2020-12-31 00:00:00,,2020-09-17 00:00:00,factset_revere_relationship,historical,1
05J2CN-E,Infomedia Ltd.,AU,,22246401.0,Industry-Specific,"['Technology', 'Consumer']",False,0.0,,,,0.138404407512252,CAD,2020-12-31 00:00:00,,2019-10-31 00:00:00,factset_revere_relationship,historical,1
05J3TG-E,PT Gajah Tunggal Tbk,ID,,21998003.0,Tire Manufacturing,['Industrial and Materials'],False,266.247642809793,11.1289360402784,77.3299995884385,2.68624452260123,1.60536170744941,USD,2020-12-31 00:00:00,,2017-08-23 00:00:00,factset_revere_relationship,historical,1
00231Q-E,"American Axle & Manufacturing Holdings, Inc.",US,,21108.0,Transportation Equipment,['Industrial and Materials'],False,249.202,6.57177711254324,54.6039650523047,2.65023107407048,3.00052455837611,USD,2020-12-31 00:00:00,,2020-02-17 00:00:00,factset_revere_relationship,historical,1
0C9DF0-E,"Huazhong In-Vehicle Holdings Co., Ltd.",HK,,194529985.0,"Comfort, Safety and Electronics",['Industrial and Materials'],False,,,,,,,,,2020-10-26 00:00:00,factset_revere_relationship,historical,1
05HGKC-E,Pirelli & C. SpA,IT,,22436530.0,Industrial Manufacturing,"['Unclassifiable', 'Industrial and Materials']",False,1440.52495181236,4.41653197340729,131.63936918005,0.404932677277865,1.5730307526745,USD,2020-12-31 00:00:00,,2019-05-16 00:00:00,factset_revere_relationship,historical,1
0021DS-E,Sodexo SA,FR,,1495000.0,Food Service Contractors,"['Unclassifiable', 'Business and Public Services', 'Consumer', 'Healthcare']",False,128.144,45.6330378324385,25.6283853437334,14.2384405829561,0.212482011054786,USD,2020-12-31 00:00:00,,2019-01-10 00:00:00,factset_revere_relationship,historical,0
06K99X-E,Fiem Industries Ltd.,IN,,22443475.0,Electrical Equipment and Power Systems,"['Industrial and Materials', 'Unclassifiable']",False,3583.854,5.53937186057245,,,,INR,2020-12-31 00:00:00,,2019-12-10 00:00:00,factset_revere_relationship,historical,1
099W6N-E,AA Ltd.,GB,,7858127.0,Consumer Products and Services,"['Consumer', 'Finance', 'Unclassifiable']",False,383.921481687154,-5.97979797979798,,,0.977479257210589,USD,2015-01-31 00:00:00,,2020-06-03 00:00:00,factset_revere_relationship,historical,1
062QWJ-E,Goodman Group,AU,,22246001.0,Property Owners,['Finance'],False,215874.453666,88.0855446935864,88.3786848348716,20.8051273927792,0.341579243893102,KRW,2017-03-31 00:00:00,,2020-03-05 00:00:00,factset_revere_relationship,historical,0
05FLZC-E,Kawasaki Heavy Industries Ltd.,JP,,240035.0,Electric Motors and Motion Control,"['Industrial and Materials', 'Unclassifiable', 'Business and Public Services']",False,3590.51930402159,3.54463041003948,129.504899643662,-0.0083224872143021,1.36134423581627,USD,2020-12-31 00:00:00,,2020-07-01 00:00:00,factset_revere_relationship,historical,0
05HFH4-E,Compass Group Plc,GB,,1509534.0,Hospitality,"['Consumer', 'Business and Public Services']",False,11.218825,0.0350660608397047,10.4957515322399,2.63973725189251,2.57948538917869,USD,2005-06-30 00:00:00,,2020-01-09 00:00:00,factset_revere_relationship,historical,1
05HYVW-E,Georg Fischer AG,CH,,22246565.0,Consumer Vehicles,"['Industrial and Materials', 'Unclassifiable']",False,,,,,,,,,2020-04-28 00:00:00,factset_revere_relationship,historical,1
002M71-E,"Plug Power, Inc.",US,,231070.0,Alternative Fuels,"['Unclassifiable', 'Industrial and Materials', 'Business and Public Services']",False,83.359,-612.580525198239,38.306750406805,-46.7108005528619,7.20971731289855,USD,2020-12-31 00:00:00,,2016-03-24 00:00:00,factset_revere_relationship,historical,1
000HMM-E,"Donaldson Co., Inc.",US,,3248.0,Natural Resource and Construction Machinery Components,['Industrial and Materials'],False,636.6,9.72353125981778,55.6935422239205,15.9389811356289,2.72675250357654,USD,2020-10-31 00:00:00,,2019-10-10 00:00:00,factset_revere_relationship,historical,0
05J9TD-E,Rosenbauer International AG,AT,,1719826.0,Transportation Equipment,"['Industrial and Materials', 'Business and Public Services', 'Technology']",False,330.226,6.14545795909468,121.477441082734,5.94834148915765,1.98889471270392,EUR,2020-12-31 00:00:00,,2019-05-16 00:00:00,factset_revere_relationship,historical,0
06VVPS-E,Stefanutti Stocks Holdings Ltd.,ZA,,22435994.0,Specialty Contractors,['Business and Public Services'],False,,,,,,,,,2019-10-08 00:00:00,factset_revere_relationship,historical,0
05JHNK-E,NorCom Information Technology GmbH & Co. KGaA,DE,,19299182.0,Business Intelligence,['Technology'],False,0.202532963195414,,,,,USD,2012-09-30 00:00:00,,2020-07-30 00:00:00,factset_revere_relationship,historical,1
0016CD-E,"ANSYS, Inc.",US,,745.0,Computer Aided Engineering (CAE),['Technology'],False,623.686,34.5738079738843,23.0035979649926,9.65737655148099,2.35891606352691,USD,2020-12-31 00:00:00,,2015-03-20 00:00:00,factset_revere_relationship,historical,1
07147D-E,Santos Brasil Participações SA,BR,,20141924.0,Logistics and Supply Chain Services,"['Business and Public Services', 'Unclassifiable']",False,260.629,5.48595896849545,22.6754116182929,-0.644915926836418,4.18075077770205,BRL,2020-12-31 00:00:00,,2019-04-01 00:00:00,factset_revere_relationship,historical,1
05J9DB-E,Asahi India Glass Ltd.,IN,,22449261.0,Construction Materials,"['Industrial and Materials', 'Unclassifiable', 'Consumer']",False,7524.6,9.82244903383569,,,,INR,2020-12-31 00:00:00,,2019-08-14 00:00:00,factset_revere_relationship,historical,1
083TZK-E,Union Materials Corp.,KR,,22438587.0,"Machinery, Equipment and Supplies",['Industrial and Materials'],False,25444.376577,-6.5889895589561,76.5181412198915,-1.43227586657832,1.36336704708261,KRW,2020-12-31 00:00:00,,2019-09-25 00:00:00,factset_revere_relationship,historical,1
09KMD1-E,Trinseo SA,US,,16003036.0,Other Organic Chemicals,['Industrial and Materials'],False,860.200000003194,7.75401069518717,212.180247331865,0.421143566758054,2.84474029626851,USD,2020-12-31 00:00:00,,2019-04-03 00:00:00,factset_revere_relationship,historical,0
06LNPN-E,Trilogiq SA,FR,,1923033.0,Metal and Mineral Products,['Industrial and Materials'],False,,,,,,,,,2019-01-09 00:00:00,factset_revere_relationship,historical,1
