factset_entity_id,entity_proper_name,iso_country,primary_sic_name,company_id,industry,top_segments,is_single_source,FF_SALES,FF_NET_MGN,FF_DEBT_EQ,FF_ROIC,FF_CURR_RATIO,CURRENCY,financial_date,revenue_percent,relationship_start,relationship_source,source_label,ground_truth_label
00691Q-E,Renaissance Services SAOG,OM,,21995977.0,Facilities and Other Support Services,"['Business and Public Services', 'Industrial and Materials', 'Energy']",False,69.913,6.20485460500908,900.135973135005,1.48134927717294,0.740467042899073,OMR,2018-12-31 00:00:00,,2018-06-29 00:00:00,factset_revere_relationship,historical,0
05J243-E,Eastern Media International Corp.,TW,,22449230.0,Miscellaneous,"['Consumer', 'Business and Public Services', 'Finance']",False,5826.51,-10.1504845954096,48.2309450873938,11.889397934021,1.36246908390541,TWD,2018-12-31 00:00:00,,2018-11-01 00:00:00,factset_revere_relationship,historical,0
008C7Q-E,Ausenco Ltd.,AU,,22246075.0,Construction and Engineering,['Business and Public Services'],False,,,,,,,,,2018-12-04 00:00:00,factset_revere_relationship,historical,0
00930H-E,BR Properties SA,BR,,22114194.0,Communications,[],False,95.817,129.552167151967,60.3947181487491,0.165898967831216,,BRL,2018-12-31 00:00:00,,2017-06-02 00:00:00,factset_revere_relationship,historical,1
06NKLX-E,Foraco International SA,FR,,1867320.0,Business and Public Services,['Business and Public Services'],False,47.9920000003166,-8.19094849141523,374.663736496505,-5.84902957032141,1.71072973131641,USD,2018-12-31 00:00:00,,2016-05-18 00:00:00,factset_revere_relationship,historical,1
003QRN-E,A.C.N. 004 410 833 Ltd.,AU,,22436675.0,Metal and Mineral Products,['Industrial and Materials'],False,353.11300000185,-0.994016079838465,48.4320671031036,2.66769731680456,2.36087100047683,USD,2018-12-31 00:00:00,,2013-10-02 00:00:00,factset_revere_relationship,historical,1
0CQTBX-E,Grit Real Estate Income Group Ltd.,MU,,194531867.0,Real Estate,"['Finance', 'Consumer']",False,6.56798859057538,25.5571732556837,117.42196196619,5.16830327704633,,GBP,2018-06-30 00:00:00,,2017-01-27 00:00:00,factset_revere_relationship,historical,1
05J23X-E,PT Vale Indonesia Tbk,ID,,21998528.0,Rest of Asia/Pacific,['Industrial and Materials'],False,197.306,2.68719653735822,1.93865671618021,3.2364645668049,3.5987110756245,USD,2018-12-31 00:00:00,80.0,2018-05-25 00:00:00,factset_revere_relationship,historical,1
09S0J7-E,Aurizon Holdings Ltd.,AU,,23732924.0,"Pipelines, Except Natural Gas",[],False,,,,,,,,,,,historical,0
0DPN4T-E,Civeo Corp.,US,,62534027.0,Finance,"['Finance', 'Consumer', 'Business and Public Services']",False,114.5200000006,-11.6267900803353,70.2689830863017,-10.0752677370907,1.24357717199451,USD,2018-12-31 00:00:00,,2014-06-27 00:00:00,factset_revere_relationship,historical,1
009Z0G-E,Kentz Corp. Ltd.,GB,,194521129.0,"Consulting, Planning and Design",['Business and Public Services'],False,,,,,,,,,2017-02-08 00:00:00,factset_revere_relationship,historical,0
05HX0H-E,Barloworld Ltd.,ZA,,1621680.0,Industrial and Materials,"['Finance', 'Industrial and Materials', 'Unclassifiable', 'Consumer', 'Business and Public Services']",False,1958.825,5.88837696067796,84.9530076604531,3.90417247432342,1.3736458862594,LKR,2018-12-31 00:00:00,,2017-01-23 00:00:00,factset_revere_relationship,historical,1
05HVZW-E,CIE Automotive SA,ES,,21128439.0,Coal Mining,[],False,725.338964743726,5.66955464356286,,,,USD,2016-03-31 00:00:00,,,,historical,0
06KJB5-E,Outotec Oyj,FI,,22439563.0,Other Industry-Specific Factory Machinery,"['Business and Public Services', 'Industrial and Materials']",False,385.681149441592,-21.98224852071,156.461675579323,-10.8645327245137,1.28697312380673,USD,2018-12-31 00:00:00,,2014-03-18 00:00:00,factset_revere_relationship,historical,1
00935F-E,Star Bulk Carriers Corp.,GR,,1886663.0,Dry Bulk,['Business and Public Services'],False,209.433000001382,5.88016215209635,94.8654809561562,2.49927506748108,1.34177453898894,USD,2018-12-31 00:00:00,,2017-05-02 00:00:00,factset_revere_relationship,historical,1
0DH64Z-E,Valmet Corp.,FI,,16003708.0,Fluid Power and Control Equipment,['Industrial and Materials'],False,1122.81139364061,7.52032520325203,21.2923728813559,13.485459843536,1.03808353808354,USD,2018-12-31 00:00:00,,2017-05-17 00:00:00,factset_revere_relationship,historical,1
05W8X0-E,Sigdo Koppers SA,CL,,21070772.0,Finance,"['Business and Public Services', 'Industrial and Materials', 'Unclassifiable']",False,442977.278524004,6.17889573113455,85.1654667461519,,1.61624450270363,CLP,2018-12-31 00:00:00,,2017-07-07 00:00:00,factset_revere_relationship,historical,1
0GSR3P-E,RUMO SA,BR,,103668284.0,Transportation and Logistics,['Business and Public Services'],False,1647.0,8.09180327868852,178.823385067637,1.39793096867448,1.66363079878932,BRL,2018-12-31 00:00:00,,2018-05-21 00:00:00,factset_revere_relationship,historical,0
06QQK6-E,Mercator Lines (Singapore) Ltd.,SG,,194503380.0,Dry Bulk,['Business and Public Services'],False,12.0395562530303,-137.173561358909,112.120306868958,-45.3301007829692,0.0526411756299249,SGD,2015-09-30 00:00:00,,2018-12-04 00:00:00,factset_revere_relationship,historical,0
071JGV-E,PT Nusa Konstruksi Enjiniring Tbk,ID,,21997175.0,Construction and Engineering,['Business and Public Services'],False,363847.470092,-18.8215695938972,32.5314079385326,-19.0850817861042,1.16645857982872,IDR,2018-12-31 00:00:00,,2017-10-30 00:00:00,factset_revere_relationship,historical,0
