factset_entity_id,entity_proper_name,iso_country,primary_sic_name,company_id,industry,top_segments,is_single_source,FF_SALES,FF_NET_MGN,FF_DEBT_EQ,FF_ROIC,FF_CURR_RATIO,CURRENCY,financial_date,revenue_percent,relationship_start,relationship_source,source_label,ground_truth_label
05Z2JY-E,Novorossiysk Commercial Sea Port PJSC,RU,,21997909.0,Business and Public Services,['Business and Public Services'],False,14706.0976535577,-103.708963440667,1946.90160619292,-14.7073283761028,0.379445524286359,RUB,2015-12-31 00:00:00,,2014-10-30 00:00:00,factset_revere_relationship,historical,0
0617FV-E,ATMA Participações SA,BR,,20141038.0,Customer Contact Centers,"['Business and Public Services', 'Technology']",False,762.565,-18.1077022942307,921.144979583228,-19.5766019646698,0.543398882500241,BRL,2015-12-31 00:00:00,,2014-03-10 00:00:00,factset_revere_relationship,historical,0
05VNRB-E,ALL América Latina Logística SA,BR,,20140666.0,Road Transportation Infrastructure and Support,['Business and Public Services'],False,1254.301,-12.5884456761176,288.100608486222,-1.8079107393719,0.427660875231127,BRL,2015-12-31 00:00:00,,2015-05-07 00:00:00,factset_revere_relationship,historical,0
008L44-E,"Renewable Energy Group, Inc.",US,,27584070.0,Construction and Engineering,"['Industrial and Materials', 'Business and Public Services']",False,387.808,-24.6536946117666,45.0867033110849,-16.1442867905776,1.61779223120648,USD,2015-12-31 00:00:00,,2014-03-24 00:00:00,factset_revere_relationship,historical,1
009B01-E,"Paragon Shipping, Inc.",GR,,1869231.0,Dry Bulk,['Business and Public Services'],False,6.790504,-2511.19965469426,,-136.388858208854,0.145666258917916,USD,2015-12-31 00:00:00,,2015-05-22 00:00:00,factset_revere_relationship,historical,1
06GYH4-E,"Rand Logistics, Inc.",US,,1831226.0,Transportation and Logistics,['Business and Public Services'],False,45.762,-8.40653817577903,346.062498831186,-4.39626830312899,1.0070025378325,USD,2015-12-31 00:00:00,,2015-07-29 00:00:00,factset_revere_relationship,historical,1
0073FX-E,"Eagle Bulk Shipping, Inc.",US,,1744947.0,Transportation and Logistics,['Business and Public Services'],False,25.740856,-309.79925842404,46.6173220154902,-18.3927905239927,1.08206230250755,USD,2015-12-31 00:00:00,,2014-04-29 00:00:00,factset_revere_relationship,historical,1
009QLL-E,Navios Maritime Partners LP,MC,,1884728.0,Business and Public Services,['Business and Public Services'],False,53.314,14.3508271748509,82.1483807341844,3.04996660927956,0.959232325178193,USD,2015-12-31 00:00:00,,2014-05-02 00:00:00,factset_revere_relationship,historical,1
00D188-E,"VEREIT, Inc.",US,,194528969.0,Commercial,['Finance'],False,380.049,-49.3067999126428,94.5543675747042,-1.74960197580786,,USD,2015-12-31 00:00:00,,2013-11-06 00:00:00,factset_revere_relationship,historical,1
05J1B6-E,Koninklijke BAM Groep NV,NL,,1923496.0,Leather And Leather Products,[],False,3552.58147916877,0.506431096282645,114.936816215758,4.58879946378609,0.746549560853202,USD,2015-12-31 00:00:00,,2014-06-18 00:00:00,factset_revere_relationship,historical,0
06V6DH-E,Adecoagro SA,LU,,194526038.0,Nut Farming,"['Consumer', 'Finance', 'Industrial and Materials', 'Business and Public Services']",False,218.668,0.203962170962372,135.103801865912,1.50741300899398,1.46005948685637,USD,2015-12-31 00:00:00,,2015-07-29 00:00:00,factset_revere_relationship,historical,1
009D3P-E,Cosan Ltd.,BR,,1869423.0,Business and Public Services,"['Energy', 'Industrial and Materials', 'Business and Public Services', 'Finance', 'Consumer']",False,878.369482722587,11.5170470706873,382.781720887238,2.13588110812496,0.987374457088799,USD,2015-12-31 00:00:00,,2015-08-19 00:00:00,factset_revere_relationship,historical,1
06QQK6-E,Mercator Lines (Singapore) Ltd.,SG,,194503380.0,Dry Bulk,['Business and Public Services'],False,12.0395562530303,-137.173561358909,112.120306868958,-45.3301007829692,0.0526411756299249,SGD,2015-09-30 00:00:00,,2014-06-20 00:00:00,factset_revere_relationship,historical,1
00288B-E,Bunzl Plc,GB,,1302.0,Consumer,"['Consumer', 'Industrial and Materials', 'Healthcare']",False,,,,,,,,,2014-08-02 00:00:00,factset_revere_relationship,historical,0
05HL3L-E,Clariant AG,CH,,194498617.0,Specialty and Performance Chemicals,['Industrial and Materials'],False,1539.74160158584,1.50720838794233,93.2147290028961,5.22993611147157,1.49195514383228,USD,2015-12-31 00:00:00,,2014-08-08 00:00:00,factset_revere_relationship,historical,0
000FFC-E,CSX Corp.,US,,2880.0,Rail Transportation,['Business and Public Services'],False,2781.0,16.7565623876303,91.8554754548575,9.15327550522081,1.51946721311475,USD,2015-12-31 00:00:00,,2014-10-26 00:00:00,factset_revere_relationship,historical,1
0087KB-E,BrasilAgro Cia Brasileira de Propriedades Agricolas,BR,,20141014.0,Agriculture,"['Consumer', 'Finance']",False,26.544,4.99547920433996,8.83143634094496,30.2655542080222,3.97510145210972,BRL,2015-12-31 00:00:00,,2014-10-28 00:00:00,factset_revere_relationship,historical,1
05WLR1-E,Zaklady Tluszczowe Kruszwica SA,PL,,22434599.0,Animal Feed,['Consumer'],False,634.969,4.69424491589353,0.0,11.459069484474,4.2856996955209,PLN,2015-12-31 00:00:00,,2015-08-19 00:00:00,factset_revere_relationship,historical,1
001MSF-E,Cresud SA,AR,,231056.0,Developers,"['Finance', 'Consumer', 'Business and Public Services']",False,174.529550509859,-27.4476513865309,7023.54138398914,-1.15507538918425,1.22208582681193,USD,2015-12-31 00:00:00,,2012-11-08 00:00:00,factset_revere_relationship,historical,1
05J13M-E,WEG SA,BR,,20140660.0,Electric Motors and Motion Control,['Industrial and Materials'],False,2734.251,14.0409933104166,85.4643097631929,13.152423351338,2.74384995064166,BRL,2015-12-31 00:00:00,,2014-06-10 00:00:00,factset_revere_relationship,historical,0
003JLR-E,Klabin SA,BR,,20140623.0,Unclassifiable,['Industrial and Materials'],False,1595.507,32.6295027223321,336.707496160558,-6.66295361540135,2.84210328258433,BRL,2015-12-31 00:00:00,,2014-06-19 00:00:00,factset_revere_relationship,historical,0
00454B-E,Ultrapetrol Bahamas Ltd.,BS,,1812799.0,Support Activities for Oil and Gas Operations,"['Industrial and Materials', 'Energy', 'Business and Public Services']",False,71.074,-47.307032107381,149.718036006124,-8.74038751284775,0.270842793009307,USD,2015-12-31 00:00:00,,2009-06-03 00:00:00,factset_revere_relationship,historical,1
09JSSY-E,JSL SA,BR,,20920562.0,"Pipelines, Except Natural Gas",[],False,1564.666,0.442075177705657,621.122084380871,0.842746896421101,1.39631643912784,BRL,2015-12-31 00:00:00,,,,historical,1
