target_entity_id,year,success,message
000VPP-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2015_target_info.json"
000VPP-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2016_target_info.json"
000VPP-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2017_target_info.json"
000VPP-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2018_target_info.json"
000VPP-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2019_target_info.json"
000VPP-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2020_target_info.json"
000VPP-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2021_target_info.json"
000VPP-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000VPP-E_2022_target_info.json"
0BFK77-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2015_target_info.json"
0BFK77-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2016_target_info.json"
0BFK77-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2017_target_info.json"
0BFK77-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2018_target_info.json"
0BFK77-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2019_target_info.json"
0BFK77-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2020_target_info.json"
0BFK77-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2021_target_info.json"
0BFK77-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0BFK77-E_2022_target_info.json"
05J32Z-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2015_target_info.json"
05J32Z-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2016_target_info.json"
05J32Z-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2017_target_info.json"
05J32Z-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2018_target_info.json"
05J32Z-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2019_target_info.json"
05J32Z-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2020_target_info.json"
05J32Z-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2021_target_info.json"
05J32Z-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/05J32Z-E_2022_target_info.json"
000KN2-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2015_target_info.json"
000KN2-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2016_target_info.json"
000KN2-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2017_target_info.json"
000KN2-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2018_target_info.json"
000KN2-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2019_target_info.json"
000KN2-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2020_target_info.json"
000KN2-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2021_target_info.json"
000KN2-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000KN2-E_2022_target_info.json"
0FPWZZ-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2015_target_info.json"
0FPWZZ-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2016_target_info.json"
0FPWZZ-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2017_target_info.json"
0FPWZZ-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2018_target_info.json"
0FPWZZ-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2019_target_info.json"
0FPWZZ-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2020_target_info.json"
0FPWZZ-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2021_target_info.json"
0FPWZZ-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0FPWZZ-E_2022_target_info.json"
001MF1-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2015_target_info.json"
001MF1-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2016_target_info.json"
001MF1-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2017_target_info.json"
001MF1-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2018_target_info.json"
001MF1-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2019_target_info.json"
001MF1-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2020_target_info.json"
001MF1-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2021_target_info.json"
001MF1-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001MF1-E_2022_target_info.json"
000CYC-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2015_target_info.json"
000CYC-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2016_target_info.json"
000CYC-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2017_target_info.json"
000CYC-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2018_target_info.json"
000CYC-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2019_target_info.json"
000CYC-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2020_target_info.json"
000CYC-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2021_target_info.json"
000CYC-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000CYC-E_2022_target_info.json"
0030M3-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2015_target_info.json"
0030M3-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2016_target_info.json"
0030M3-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2017_target_info.json"
0030M3-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2018_target_info.json"
0030M3-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2019_target_info.json"
0030M3-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2020_target_info.json"
0030M3-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2021_target_info.json"
0030M3-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0030M3-E_2022_target_info.json"
000LQ5-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2015_target_info.json"
000LQ5-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2016_target_info.json"
000LQ5-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2017_target_info.json"
000LQ5-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2018_target_info.json"
000LQ5-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2019_target_info.json"
000LQ5-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2020_target_info.json"
000LQ5-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2021_target_info.json"
000LQ5-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000LQ5-E_2022_target_info.json"
001XQ4-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2015_target_info.json"
001XQ4-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2016_target_info.json"
001XQ4-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2017_target_info.json"
001XQ4-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2018_target_info.json"
001XQ4-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2019_target_info.json"
001XQ4-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2020_target_info.json"
001XQ4-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2021_target_info.json"
001XQ4-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001XQ4-E_2022_target_info.json"
001CJR-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2015_target_info.json"
001CJR-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2016_target_info.json"
001CJR-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2017_target_info.json"
001CJR-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2018_target_info.json"
001CJR-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2019_target_info.json"
001CJR-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2020_target_info.json"
001CJR-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2021_target_info.json"
001CJR-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/001CJR-E_2022_target_info.json"
000C7F-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2015_target_info.json"
000C7F-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2016_target_info.json"
000C7F-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2017_target_info.json"
000C7F-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2018_target_info.json"
000C7F-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2019_target_info.json"
000C7F-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2020_target_info.json"
000C7F-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2021_target_info.json"
000C7F-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/000C7F-E_2022_target_info.json"
0NZ2QW-E,2015,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2015_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2015_target_info.json"
0NZ2QW-E,2016,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2016_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2016_target_info.json"
0NZ2QW-E,2017,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2017_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2017_target_info.json"
0NZ2QW-E,2018,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2018_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2018_target_info.json"
0NZ2QW-E,2019,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2019_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2019_target_info.json"
0NZ2QW-E,2020,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2020_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2020_target_info.json"
0NZ2QW-E,2021,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2021_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2021_target_info.json"
0NZ2QW-E,2022,True,"成功保存: /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2022_suppliers.csv, /home/yangmin/workplace/firmsim/pre_extracted_supplier_data/0NZ2QW-E_2022_target_info.json"
