factset_entity_id,entity_proper_name,iso_country,primary_sic_name,company_id,industry,top_segments,is_single_source,FF_SALES,FF_NET_MGN,FF_DEBT_EQ,FF_ROIC,FF_CURR_RATIO,CURRENCY,financial_date,revenue_percent,relationship_start,relationship_source,source_label,ground_truth_label
06QZWT-E,"AvePoint, Inc. (United States)",US,,8821122.0,Primary Metal Industries,[],False,,,,,,,,,,,historical,1
0LMQT8-E,"Andlauer Healthcare Group, Inc.",CA,,149558975.0,Delivery and Logistics,"['Business and Public Services', 'Healthcare', 'Unclassifiable']",False,,,,,,,,,2021-03-16 00:00:00,factset_revere_relationship,historical,0
0F125V-E,"Amoy Diagnostics Co., Ltd.",CN,,69410131.0,Diagnostic,"['Healthcare', 'Unclassifiable']",False,241.64810325,16.3813354781629,3.57673795385319,18.091755715574,13.9740859808511,CNY,2022-12-31 00:00:00,,2022-08-12 00:00:00,factset_revere_relationship,historical,1
0D7XZ4-E,Alkemy SpA,IT,,9448074.0,Business Services,['Business and Public Services'],False,31.259,6.21580984676413,62.4875020345525,10.0443476931104,1.29119538179941,EUR,2022-12-31 00:00:00,,2021-08-08 00:00:00,factset_revere_relationship,historical,0
06104T-E,Syngene International Ltd.,IN,,6860948.0,Outsourced Biomedical Services,['Healthcare'],False,7859.0,13.9585188955338,31.0845153664303,11.0100599532568,1.88782552682433,INR,2022-12-31 00:00:00,,2017-08-30 00:00:00,factset_revere_relationship,historical,1
0083Q4-E,Vitura SA,FR,,1922745.0,Commercial,['Finance'],False,18.4185207963586,379.567560002799,68.0887876406681,,,USD,2006-12-31 00:00:00,,2021-08-09 00:00:00,factset_revere_relationship,historical,1
000J7V-E,"Enzon Pharmaceuticals, Inc.",US,,3637.0,Urinary Bladder Cancer,['Healthcare'],False,0.026,1280.76923076923,0.0,-0.398966120054482,27.89111241907,USD,2022-12-31 00:00:00,100.0,2022-06-01 00:00:00,factset_revere_relationship,historical,1
004D71-E,"Infoblox, Inc.",US,,21638458.0,Technology,['Technology'],False,86.303,-11.9370126183331,0.0,-5.55483531175303,2.02190206228906,USD,2016-07-31 00:00:00,,2015-10-28 00:00:00,factset_revere_relationship,historical,1
000M1T-E,"ImmunoGen, Inc.",US,,5263.0,Ovarian Cancer,['Healthcare'],False,41.167,-143.338110622586,30.38774017173,-78.742891455618,2.49569991301351,USD,2022-12-31 00:00:00,,2021-03-26 00:00:00,factset_revere_relationship,historical,1
001M8L-E,"Alexandria Real Estate Equities, Inc.",US,,328.0,Commercial,['Finance'],False,670.281,7.72705775637382,57.8952875038866,1.84557927492602,,USD,2022-12-31 00:00:00,1.0,2022-02-01 00:00:00,factset_revere_relationship,historical,1
005DN8-E,"Cytokinetics, Inc.",US,,1516662.0,Neurology,['Healthcare'],False,1.957,-7019.92846193153,,-68.9916038678791,9.39747332096387,USD,2022-12-31 00:00:00,10.37,2022-03-14 00:00:00,factset_revere_relationship,historical,1
08V0XH-E,ID Logistics Group,FR,,194530758.0,"Pipelines, Except Natural Gas",[],False,149.4,0.0,17.7034646238734,,0.883535656047833,EUR,2012-12-31 00:00:00,,2022-09-14 00:00:00,factset_revere_relationship,historical,0
0011X6-E,Nektar Therapeutics,US,,5364.0,Drug Delivery Technology,['Healthcare'],False,22.023,-271.025745811197,70.359046252707,-47.2263052718798,8.00492639727875,USD,2022-12-31 00:00:00,,2022-04-18 00:00:00,factset_revere_relationship,historical,1
001175-E,"Ligand Pharmaceuticals, Inc.",US,,6164.0,Acute,['Healthcare'],False,50.382,-28.8476043031241,14.6858916960258,-3.44551949335794,2.66775629996964,USD,2022-12-31 00:00:00,9.91,2022-08-04 00:00:00,factset_revere_relationship,historical,1
0FFVT4-E,Biocartis Group NV,BE,,73951486.0,Clinical Diagnostics,['Healthcare'],False,,,,,,,,,2022-08-10 00:00:00,factset_revere_relationship,historical,1
000PK2-E,Matthews International Corp.,US,,6451.0,Consumer Services,"['Consumer', 'Industrial and Materials', 'Business and Public Services']",False,449.24,0.824281007924495,180.927668754763,-5.21152962439719,1.72666492158018,USD,2022-12-31 00:00:00,,2022-12-28 00:00:00,factset_revere_relationship,historical,1
0FLB06-E,Patheon NV,NL,,76023267.0,Healthcare,['Healthcare'],False,483.4,5.70955730244104,,6.17234923696602,1.65501319261214,USD,2017-04-30 00:00:00,,2016-07-21 00:00:00,factset_revere_relationship,historical,1
079DKN-E,UBM Plc,GB,,10605.0,Marketing Communications and Advertising Services,['Business and Public Services'],False,,,,,,,,,2022-08-10 00:00:00,factset_revere_relationship,historical,1
0M7SD1-E,Immatics NV,DE,,157582447.0,Oncology,['Healthcare'],False,,,,,,,,29.42,2022-05-18 00:00:00,factset_revere_relationship,historical,1
